threshold,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0.85,755,111,114,6520,0.97,0.871824480369515,0.8688147295742232,0.8703170028818443,0.8688147295742232,0.016739556627959583
0.86,749,93,120,6538,0.9716,0.8895486935866983,0.8619102416570771,0.875511396843951,0.8619102416570771,0.014025033931533705
0.87,735,82,134,6549,0.9712,0.8996328029375765,0.8457997698504027,0.8718861209964412,0.8457997698504027,0.012366158950384558
0.88,721,74,148,6557,0.9704,0.9069182389937107,0.8296892980437284,0.8665865384615384,0.8296892980437284,0.011159704418639723
0.89,710,66,159,6565,0.97,0.9149484536082474,0.8170310701956272,0.8632218844984803,0.8170310701956272,0.009953249886894888
0.9,696,59,173,6572,0.9690666666666666,0.9218543046357616,0.8009205983889528,0.8571428571428571,0.8009205983889528,0.008897602171618156
0.91,684,48,185,6583,0.9689333333333333,0.9344262295081968,0.7871116225546605,0.8544659587757651,0.7871116225546605,0.007238727190469009
0.92,666,37,203,6594,0.968,0.9473684210526315,0.766398158803222,0.847328244274809,0.766398158803222,0.0055798522093198615
0.93,651,33,218,6598,0.9665333333333334,0.9517543859649122,0.7491369390103567,0.8383773341918866,0.7491369390103567,0.004976624943447444
0.94,633,26,236,6605,0.9650666666666666,0.960546282245827,0.7284234752589183,0.8285340314136126,0.7284234752589183,0.003920977228170713
0.95,609,16,260,6615,0.9632,0.9744,0.7008055235903338,0.8152610441767069,0.7008055235903338,0.0024129090634896697
0.96,583,11,286,6620,0.9604,0.9814814814814815,0.6708860759493671,0.7969924812030076,0.6708860759493671,0.0016588749811491479
0.97,560,3,309,6628,0.9584,0.9946714031971581,0.6444188722669736,0.782122905027933,0.6444188722669736,0.00045242044940431306
0.98,493,0,376,6631,0.9498666666666666,1.0,0.567318757192175,0.7239353891336271,0.567318757192175,0.0
0.99,381,0,488,6631,0.9349333333333333,1.0,0.43843498273878023,0.6096,0.43843498273878023,0.0
1.0,0,0,869,6631,0.8841333333333333,0.0,0.0,0.0,0.0,0.0
