threshold,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,f1_mean,f1_std,tp_total,fp_total,fn_total,tn_total
0.79,0.9851365888528261,0.011270022879630937,0.7548534981064382,0.04098294499647788,0.001508181963875922,0.0011683941564459728,0.8541048877263654,0.02654435898595285,656,10,213,6621
0.8,0.9878693977419694,0.008868008077398428,0.7445020264434257,0.036153944028261,0.001206522838687385,0.0009050342333639998,0.8485849717863567,0.023781990313934975,647,8,222,6623
0.81,0.9890015666350523,0.006234836759548042,0.7249352202511462,0.03982233727780717,0.0010556932760931166,0.0006033751215567053,0.836023013746843,0.02698074120649831,630,7,239,6624
0.82,0.993688327097938,0.003188054063414762,0.7180320244502025,0.0429460214613567,0.000603204588310311,0.0003016023744703418,0.8329155862803915,0.028868478708255783,624,4,245,6627
0.83,0.9951328148242595,0.003989872987878282,0.7076739087103847,0.03831659658418068,0.00045248868778280545,0.00036945546648313395,0.8265599102581017,0.02648368747088382,615,3,254,6628
0.84,0.9951044462597736,0.004015092664790804,0.6996079994684739,0.0407625813440401,0.00045248868778280545,0.00036945546648313395,0.8209174800822305,0.028192871670475596,608,3,261,6628
0.85,0.9966758241758242,0.004089994152515684,0.6915553783801742,0.04077913517497317,0.00030165912518853697,0.00036945546648313395,0.8158621161217473,0.028670917504153452,601,2,268,6629
0.86,0.9984375,0.003125,0.6777489867782871,0.040833187966445396,0.00015082956259426848,0.00030165912518853697,0.8066623754746978,0.028291037204594274,589,1,280,6630
0.87,0.9984,0.0032000000000000028,0.6639425951764002,0.035748127862693935,0.00015082956259426848,0.00030165912518853697,0.7969250528483143,0.02504022961603222,577,1,292,6630
0.88,0.9983870967741936,0.0032258064516129,0.6524284100724204,0.0408355176175593,0.00015082956259426848,0.00030165912518853697,0.7883662270354717,0.0291461602534884,567,1,302,6630
0.89,0.9983471074380166,0.0033057851239669312,0.6409208690452461,0.041009844906302474,0.00015082956259426848,0.00030165912518853697,0.7798535815935084,0.029983414727945808,557,1,312,6630
0.9,0.9983333333333334,0.003333333333333322,0.6305494651518171,0.045570692621690424,0.00015082956259426848,0.00030165912518853697,0.7719015990833686,0.0339214639324641,548,1,321,6630
0.91,1.0,0.0,0.619041924124643,0.048397521419718585,0.0,0.0,0.7635895208627645,0.03720462333453768,538,0,331,6631
0.92,1.0,0.0,0.6006112550661086,0.050380885292474586,0.0,0.0,0.7492279365422502,0.03969964207300021,522,0,347,6631
0.93,1.0,0.0,0.5798950235864726,0.049169683311031616,0.0,0.0,0.7328504443148639,0.03993322816872564,504,0,365,6631
0.94,1.0,0.0,0.5637897814098731,0.047549756898063004,0.0,0.0,0.7198590578070795,0.0393588389008902,490,0,379,6631
0.95,1.0,0.0,0.5430868380838483,0.04678098677909872,0.0,0.0,0.7026940651696094,0.0396712999357615,472,0,397,6631
0.96,1.0,0.0,0.5292804464819614,0.04544955806410755,0.0,0.0,0.6910320712708853,0.03914823101091707,460,0,409,6631
0.97,1.0,0.0,0.5131752043053618,0.051304968267193406,0.0,0.0,0.6767392262283354,0.045332248420898995,446,0,423,6631
0.98,1.0,0.0,0.5039798020065112,0.047831988529783424,0.0,0.0,0.6688415137213721,0.0425668007604878,438,0,431,6631
0.99,1.0,0.0,0.4855624211015879,0.04315889500741817,0.0,0.0,0.6525657582841543,0.03934065731104509,422,0,447,6631
1.0,1.0,0.0,0.4671450401966647,0.03700370844037275,0.0,0.0,0.6359344152962718,0.034650023828975474,406,0,463,6631
